date,maxt,mint,rain,year,month,source_file,Name,Location,Opened
1947-03-01,,2.2,191.1,1947.0,3.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1947-04-01,,5.1,85.6,1947.0,4.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1947-05-01,13.9,8.0,99.1,1947.0,5.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1947-06-01,17.0,10.4,67.4,1947.0,6.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1947-07-01,17.4,11.7,52.8,1947.0,7.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1947-08-01,21.4,13.2,20.2,1947.0,8.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1947-09-01,17.5,11.4,69.5,1947.0,9.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1947-10-01,14.2,8.0,29.9,1947.0,10.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1947-11-01,10.1,6.5,100.1,1947.0,11.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1947-12-01,7.7,4.9,92.9,1947.0,12.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1948-01-01,8.2,4.6,167.5,1948.0,1.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1948-02-01,7.4,2.9,56.8,1948.0,2.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1948-03-01,13.5,5.8,51.9,1948.0,3.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1948-04-01,11.4,4.8,36.4,1948.0,4.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1948-05-01,14.2,6.7,44.7,1948.0,5.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1948-06-01,14.7,9.8,59.4,1948.0,6.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1948-07-01,16.9,11.6,103.1,1948.0,7.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1948-08-01,17.0,11.8,102.4,1948.0,8.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1948-09-01,15.7,11.1,77.9,1948.0,9.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1948-10-01,13.3,8.5,87.4,1948.0,10.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1948-11-01,11.5,6.9,95.6,1948.0,11.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1948-12-01,8.5,4.2,175.9,1948.0,12.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1949-01-01,8.6,5.0,44.0,1949.0,1.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1949-02-01,8.7,4.4,36.6,1949.0,2.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1949-03-01,8.7,3.3,44.4,1949.0,3.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1949-04-01,,6.7,74.8,1949.0,4.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1949-05-01,13.4,6.6,67.9,1949.0,5.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1949-06-01,17.4,11.3,24.6,1949.0,6.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1949-07-01,19.9,12.5,45.0,1949.0,7.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1949-08-01,19.0,12.8,59.1,1949.0,8.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1949-09-01,19.5,12.5,28.3,1949.0,9.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1949-10-01,15.2,9.9,181.1,1949.0,10.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1949-11-01,10.2,6.1,147.6,1949.0,11.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1949-12-01,8.7,5.4,115.3,1949.0,12.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1950-01-01,7.3,3.2,29.9,1950.0,1.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1950-02-01,8.3,3.9,176.7,1950.0,2.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1950-03-01,10.8,4.8,57.5,1950.0,3.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1950-04-01,10.3,5.3,84.9,1950.0,4.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1950-05-01,14.7,7.6,60.5,1950.0,5.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1950-06-01,17.9,11.2,40.3,1950.0,6.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1950-07-01,17.9,12.0,63.4,1950.0,7.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1950-08-01,17.4,11.5,158.2,1950.0,8.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1950-09-01,15.3,10.7,208.8,1950.0,9.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1950-10-01,12.9,8.0,91.9,1950.0,10.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1950-11-01,9.1,4.8,170.3,1950.0,11.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1950-12-01,4.7,1.7,119.5,1950.0,12.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1951-01-01,6.7,3.2,89.3,1951.0,1.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1951-02-01,6.4,2.0,92.9,1951.0,2.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1951-03-01,6.9,2.2,112.6,1951.0,3.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1951-04-01,9.6,3.7,77.1,1951.0,4.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1951-05-01,12.5,6.3,65.7,1951.0,5.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1951-06-01,16.3,9.4,27.1,1951.0,6.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1951-07-01,18.3,11.8,78.0,1951.0,7.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1951-08-01,16.9,11.3,136.5,1951.0,8.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1951-09-01,16.4,11.8,112.1,1951.0,9.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1951-10-01,13.6,8.1,35.3,1951.0,10.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1951-11-01,11.0,7.2,168.8,1951.0,11.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1951-12-01,8.7,5.4,141.6,1951.0,12.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1952-01-01,6.2,2.8,122.6,1952.0,1.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1952-02-01,6.9,2.2,36.3,1952.0,2.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1952-03-01,9.4,4.7,49.1,1952.0,3.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1952-04-01,12.3,5.6,80.6,1952.0,4.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1952-05-01,15.2,8.9,112.7,1952.0,5.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1952-06-01,15.8,9.9,87.0,1952.0,6.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1952-07-01,18.6,12.4,49.1,1952.0,7.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1952-08-01,17.9,12.1,121.5,1952.0,8.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1952-09-01,14.2,8.8,113.1,1952.0,9.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1952-10-01,12.5,8.0,115.7,1952.0,10.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1952-11-01,7.8,4.3,93.0,1952.0,11.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1952-12-01,6.9,3.1,96.1,1952.0,12.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1953-01-01,6.8,2.9,43.1,1953.0,1.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1953-02-01,7.4,2.8,46.6,1953.0,2.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1953-03-01,9.8,2.4,60.0,1953.0,3.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1953-04-01,10.2,4.0,66.8,1953.0,4.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1953-05-01,15.2,8.6,55.1,1953.0,5.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1953-06-01,15.7,9.6,58.7,1953.0,6.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1953-07-01,17.2,11.7,60.5,1953.0,7.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1953-08-01,18.3,12.2,83.5,1953.0,8.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1953-09-01,16.2,11.2,110.3,1953.0,9.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1953-10-01,13.6,7.8,82.0,1953.0,10.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1953-11-01,11.2,7.4,126.5,1953.0,11.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1953-12-01,10.1,7.0,42.6,1953.0,12.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1954-01-01,6.3,2.9,78.6,1954.0,1.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1954-02-01,6.4,1.5,72.8,1954.0,2.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1954-03-01,9.1,3.8,83.2,1954.0,3.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1954-04-01,11.3,4.2,21.7,1954.0,4.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1954-05-01,13.3,7.6,83.4,1954.0,5.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1954-06-01,15.3,9.7,86.2,1954.0,6.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1954-07-01,15.8,11.1,64.2,1954.0,7.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1954-08-01,16.1,11.2,83.4,1954.0,8.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1954-09-01,15.3,10.2,90.1,1954.0,9.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1954-10-01,14.1,10.3,189.1,1954.0,10.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1954-11-01,10.4,5.9,232.3,1954.0,11.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1954-12-01,9.2,6.2,102.2,1954.0,12.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1955-01-01,6.1,2.4,70.2,1955.0,1.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1955-02-01,4.6,0.2,48.6,1955.0,2.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1955-03-01,6.9,0.5,83.5,1955.0,3.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1955-04-01,11.9,5.4,59.9,1955.0,4.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1955-05-01,12.6,6.9,70.1,1955.0,5.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1955-06-01,16.5,10.9,94.1,1955.0,6.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1955-07-01,19.2,11.6,14.7,1955.0,7.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1955-08-01,21.3,14.0,29.9,1955.0,8.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1955-09-01,17.2,11.6,58.9,1955.0,9.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1955-10-01,12.9,8.0,72.0,1955.0,10.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1955-11-01,10.3,5.2,55.7,1955.0,11.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1955-12-01,9.1,5.6,130.2,1955.0,12.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1956-01-01,7.1,3.6,102.0,1956.0,1.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1956-02-01,3.4,-1.8,18.9,1956.0,2.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1956-03-01,10.6,3.9,33.4,1956.0,3.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1956-04-01,10.6,3.8,24.2,1956.0,4.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1956-05-01,14.5,7.7,25.7,1956.0,5.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1956-06-01,15.0,9.3,56.6,1956.0,6.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1956-07-01,17.6,12.0,82.8,1956.0,7.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1956-08-01,15.7,10.7,103.2,1956.0,8.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1956-09-01,16.9,11.9,107.8,1956.0,9.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1956-10-01,12.7,8.2,42.8,1956.0,10.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1956-11-01,9.1,6.0,66.0,1956.0,11.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1956-12-01,8.5,5.4,114.6,1956.0,12.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1957-01-01,8.6,3.9,80.6,1957.0,1.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1957-02-01,8.5,3.2,85.1,1957.0,2.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1957-03-01,12.2,7.4,83.1,1957.0,3.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1957-04-01,11.3,6.2,7.4,1957.0,4.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1957-05-01,13.6,7.4,54.1,1957.0,5.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1957-06-01,18.2,10.6,48.5,1957.0,6.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1957-07-01,17.7,12.7,123.2,1957.0,7.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1957-08-01,17.7,12.5,52.3,1957.0,8.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1957-09-01,15.3,11.1,187.7,1957.0,9.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1957-10-01,13.8,9.3,101.2,1957.0,10.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1957-11-01,9.2,5.1,59.0,1957.0,11.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1957-12-01,8.4,3.3,76.5,1957.0,12.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1958-01-01,7.7,3.2,100.2,1958.0,1.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1958-02-01,8.4,3.7,100.7,1958.0,2.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1958-03-01,7.6,1.7,21.1,1958.0,3.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1958-04-01,10.6,4.6,17.8,1958.0,4.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1958-05-01,13.4,7.8,95.3,1958.0,5.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1958-06-01,16.0,10.0,86.9,1958.0,6.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1958-07-01,17.1,11.7,113.7,1958.0,7.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1958-08-01,17.2,12.7,108.0,1958.0,8.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1958-09-01,17.6,12.1,184.5,1958.0,9.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1958-10-01,13.1,9.0,94.5,1958.0,10.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1958-11-01,10.4,5.8,73.6,1958.0,11.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1958-12-01,8.3,3.8,82.8,1958.0,12.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1959-01-01,6.4,2.1,118.0,1959.0,1.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1959-02-01,8.8,2.9,10.8,1959.0,2.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1959-03-01,10.1,5.2,94.1,1959.0,3.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1959-04-01,11.5,6.4,84.0,1959.0,4.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1959-05-01,15.5,8.9,46.2,1959.0,5.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1959-06-01,17.3,10.9,34.9,1959.0,6.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1959-07-01,19.1,12.7,55.5,1959.0,7.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1959-08-01,19.1,13.0,17.2,1959.0,8.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1959-09-01,19.6,11.5,8.9,1959.0,9.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1959-10-01,16.2,10.8,157.4,1959.0,10.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1959-11-01,10.5,6.6,229.9,1959.0,11.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1959-12-01,9.1,4.9,148.9,1959.0,12.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1960-01-01,7.9,3.4,131.0,1960.0,1.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1960-02-01,7.1,2.3,112.5,1960.0,2.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1960-03-01,10.0,4.2,58.3,1960.0,3.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1960-04-01,10.9,5.6,92.1,1960.0,4.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1960-05-01,15.5,9.2,46.9,1960.0,5.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1960-06-01,18.0,11.6,43.4,1960.0,6.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1960-07-01,17.0,11.9,89.4,1960.0,7.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1960-08-01,17.0,12.0,98.5,1960.0,8.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1960-09-01,15.7,10.6,138.4,1960.0,9.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1960-10-01,13.0,8.4,150.8,1960.0,10.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1960-11-01,10.3,5.8,204.7,1960.0,11.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1960-12-01,7.3,2.8,126.1,1960.0,12.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1961-01-01,7.2,2.3,117.5,1961.0,1.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1961-02-01,9.5,5.6,72.2,1961.0,2.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1961-03-01,11.0,5.7,14.6,1961.0,3.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1961-04-01,12.4,6.7,120.1,1961.0,4.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1961-05-01,13.8,7.7,40.0,1961.0,5.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1961-06-01,16.7,10.2,33.2,1961.0,6.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1961-07-01,16.9,11.6,50.3,1961.0,7.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1961-08-01,17.6,12.1,100.1,1961.0,8.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1961-09-01,17.7,11.9,112.9,1961.0,9.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1961-10-01,13.4,8.5,173.8,1961.0,10.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1961-11-01,9.5,5.1,63.5,1961.0,11.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1961-12-01,6.5,1.7,73.2,1961.0,12.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1962-01-01,7.8,2.8,113.3,1962.0,1.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1962-02-01,7.4,3.2,28.9,1962.0,2.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1962-03-01,6.4,0.5,37.6,1962.0,3.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1962-04-01,10.3,4.4,73.4,1962.0,4.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1962-05-01,12.1,7.3,52.3,1962.0,5.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1962-06-01,16.0,9.3,39.0,1962.0,6.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1962-07-01,17.0,11.4,53.8,1962.0,7.0,Aberporth,Aberporth,"-4.57, 52.139",1941
