State,Station,Max Temp (C),DATE,Max Temp (F),YEAR
WYOMING,WHEATLAND 4N,30.0,2015-03-15,86.0,2015
MONTANA,GLENDIVE,29.4,1910-03-22,84.91999999999999,1910
VERMONT,SAINT JOHNSBURY,28.9,1998-03-31,84.02,1998
MAINE,GARDINER,28.9,2012-03-22,84.02,2012
CONNECTICUT,STORRS,28.3,1945-03-29,82.94,1945
IDAHO,PAYETTE,28.3,1966-03-30,82.94,1966
RHODE ISLAND,KINGSTON,27.8,1945-03-29,82.04,1945
ALASKA,NOME AP,6.7,1938-03-02,44.06,1938
FLORIDA,ARCADIA,46.1,2002-04-29,114.98,2002
ARIZONA,PARKER,45.0,1898-04-25,113.0,1898
TEXAS,RIO GRANDE CITY,44.4,1937-04-28,111.91999999999999,1937
CALIFORNIA,INDIO FIRE STN,43.3,1904-04-26,109.94,1904
KANSAS,HAYS 1 S,41.7,1989-04-23,107.06,1989
NEBRASKA,FAIRBURY 7S,39.4,1902-04-20,102.91999999999999,1902
LOUISIANA,ST JOSEPH 3 N,39.4,2025-04-04,102.91999999999999,2025
OKLAHOMA,CLAREMORE 2 ENE,38.9,1972-04-13,102.02,1972
NEW MEXICO,CARLSBAD,38.3,2012-04-26,100.94,2012
WEST VIRGINIA,ROMNEY 1 SW,38.3,1915-04-26,100.94,1915
UTAH,ST GEORGE,37.8,1946-04-25,100.03999999999999,1946
SOUTH DAKOTA,BRITTON,37.8,1980-04-21,100.03999999999999,1980
MINNESOTA,ADA,37.8,1980-04-21,100.03999999999999,1980
COLORADO,LAS ANIMAS,37.8,1989-04-21,100.03999999999999,1989
IOWA,FT DODGE 5NNW,37.8,1980-04-22,100.03999999999999,1980
VIRGINIA,PURCELLVILLE,37.8,1915-04-26,100.03999999999999,1915
IDAHO,CAMBRIDGE,37.2,1910-04-26,98.96000000000001,1910
ARKANSAS,HARRISON,37.2,1927-04-27,98.96000000000001,1927
SOUTH CAROLINA,YEMASSEE 1 N,37.2,1986-04-27,98.96000000000001,1986
WISCONSIN,PORTAGE WWTP,37.2,1985-04-19,98.96000000000001,1985
MISSISSIPPI,PORT GIBSON 1 NE,37.2,1988-04-03,98.96000000000001,1988
NORTH DAKOTA,FORMAN 5 SSE,37.2,1915-04-15,98.96000000000001,1915
GEORGIA,BRUNSWICK,37.2,1986-04-28,98.96000000000001,1986
ILLINOIS,MORRISON,37.2,1926-04-29,98.96000000000001,1926
ALABAMA,TALLADEGA,36.7,1927-04-19,98.06,1927
TENNESSEE,MILAN EXP STN,36.7,1918-04-25,98.06,1918
NORTH CAROLINA,CHAPEL HILL 2 W,36.7,1922-04-14,98.06,1922
WASHINGTON,POMEROY,36.7,1977-04-24,98.06,1977
OREGON,GRANTS PASS,36.7,1926-04-27,98.06,1926
INDIANA,WINAMAC 2SSE,36.7,1900-04-16,98.06,1900
MISSOURI,CARUTHERSVILLE,36.1,1912-04-15,96.98,1912
KENTUCKY,HOPKINSVILLE,36.1,1910-04-07,96.98,1910
DELAWARE,DOVER,36.1,1990-04-26,96.98,1990
NEW JERSEY,MOORESTOWN 4 E,36.1,1990-04-26,96.98,1990
OHIO,PORTSMOUTH-SCIOTOVILLE,36.1,1894-04-30,96.98,1894
PENNSYLVANIA,EVERETT,35.6,1921-04-26,96.08000000000001,1921
NEW YORK,PORT JERVIS,35.6,1976-04-18,96.08000000000001,1976
NEVADA,MINA,35.6,1945-04-30,96.08000000000001,1945
MASSACHUSETTS,LOWELL,35.6,2002-04-18,96.08000000000001,2002
MICHIGAN,MT CLEMENS ANG BASE,35.0,1923-04-01,95.0,1923
CONNECTICUT,STORRS,35.0,2023-04-15,95.0,2023
NEW HAMPSHIRE,DURHAM,35.0,1941-04-20,95.0,1941
MARYLAND,HAGERSTOWN 1E,34.4,1915-04-26,93.91999999999999,1915
MONTANA,CHINOOK,34.4,1910-04-26,93.91999999999999,1910
WYOMING,CHUGWATER,33.9,1915-04-14,93.02,1915
VERMONT,WOODSTOCK,33.9,1941-04-20,93.02,1941
MAINE,GARDINER,33.3,1998-04-02,91.94,1998
RHODE ISLAND,KINGSTON,33.3,2023-04-14,91.94,2023
ALASKA,NOME AP,15.6,1940-04-25,60.08,1940
MICHIGAN,TRAVERSE CY CHERRY CAPITAL AP,50.0,2004-05-07,122.0,2004
CALIFORNIA,INDIO FIRE STN,49.4,1910-05-30,120.91999999999999,1910
ARIZONA,PARKER,47.2,1896-05-27,116.96000000000001,1896
SOUTH DAKOTA,SISSETON,45.0,1934-05-30,113.0,1934
TEXAS,HASKELL,44.4,2000-05-24,111.91999999999999,2000
NORTH DAKOTA,LANGDON EXP FARM,43.9,1934-05-30,111.02,1934
MISSOURI,MARYVILLE 2E,43.3,1934-05-30,109.94,1934
MINNESOTA,RED LAKE INDIAN AGCY,43.3,1999-05-18,109.94,1999
NEBRASKA,BROKEN BOW 2 W,43.3,1895-05-08,109.94,1895
MONTANA,WIBAUX 2 E,43.3,1919-05-29,109.94,1919
IOWA,FAYETTE,42.8,1934-05-31,109.03999999999999,1934
UTAH,MOAB,42.8,1910-05-31,109.03999999999999,1910
WISCONSIN,PRAIRIE DU CHIEN,42.8,1934-05-31,109.03999999999999,1934
NEW MEXICO,CARLSBAD,42.8,2000-05-24,109.03999999999999,2000
ARKANSAS,ARKADELPHIA 2 N,42.2,1902-05-26,107.96000000000001,1902
COLORADO,HOLLY,41.7,1996-05-19,107.06,1996
KANSAS,LAKIN,41.7,1974-05-29,107.06,1974
OREGON,ARLINGTON,41.7,1986-05-30,107.06,1986
SOUTH CAROLINA,SANTUCK,41.1,1911-05-26,105.98,1911
KENTUCKY,ASHLAND,41.1,1996-05-20,105.98,1996
ILLINOIS,OTTAWA 4SW,41.1,1934-05-31,105.98,1934
OKLAHOMA,ENID,40.0,1985-05-30,104.0,1985
WASHINGTON,KENNEWICK,40.0,1910-05-31,104.0,1910
NORTH CAROLINA,HENDERSON 2 NNW,40.0,1941-05-29,104.0,1941
LOUISIANA,HAMMOND,40.0,1951-05-31,104.0,1951
GEORGIA,WAYNESBORO 2 S,40.0,1914-05-29,104.0,1914
MISSISSIPPI,ABERDEEN,40.0,1896-05-26,104.0,1896
IDAHO,RIGGINS,39.4,2003-05-25,102.91999999999999,2003
INDIANA,OOLITIC PURDUE EX FM,39.4,1918-05-28,102.91999999999999,1918
FLORIDA,ARCADIA,39.4,1938-05-26,102.91999999999999,1938
VIRGINIA,PURCELLVILLE,38.9,1911-05-22,102.02,1911
NEVADA,MINA,38.9,1910-05-31,102.02,1910
TENNESSEE,JACKSON EXP STN,38.9,1911-05-27,102.02,1911
WYOMING,SUNDANCE,38.3,1934-05-28,100.94,1934
WEST VIRGINIA,ROMNEY 1 SW,38.3,1930-05-08,100.94,1930
OHIO,URBANA WRF,38.3,1911-05-27,100.94,1911
ALABAMA,CLANTON,37.8,1914-05-31,100.03999999999999,1914
MARYLAND,SOLOMONS,37.8,1895-05-09,100.03999999999999,1895
NEW HAMPSHIRE,NASHUA 2 NNW,37.8,1911-05-22,100.03999999999999,1911
MAINE,FARMINGTON,37.8,1911-05-22,100.03999999999999,1911
MASSACHUSETTS,HAVERHILL,37.2,1929-05-30,98.96000000000001,1929
NEW YORK,NY CITY CNTRL PARK,37.2,1962-05-19,98.96000000000001,1962
PENNSYLVANIA,PHOENIXVILLE 1 E,37.2,1930-05-07,98.96000000000001,1930
NEW JERSEY,FLEMINGTON 5 NNW,37.2,1939-05-31,98.96000000000001,1939
DELAWARE,DOVER,36.7,1914-05-27,98.06,1914
RHODE ISLAND,KINGSTON,36.1,2010-05-26,96.98,2010
VERMONT,SAINT JOHNSBURY,35.6,1911-05-22,96.08000000000001,1911
CONNECTICUT,STORRS,33.9,2010-05-27,93.02,2010
ALASKA,NOME AP,25.6,1981-05-30,78.08,1981
ARIZONA,PARKER,52.2,1896-06-15,125.96000000000001,1896
CALIFORNIA,INDIO FIRE STN,50.6,1970-06-26,123.08000000000001,1970
KANSAS,LAKIN,47.8,1899-06-19,118.03999999999999,1899
OREGON,ARLINGTON,47.2,2021-06-30,116.96000000000001,2021
NEBRASKA,BEAVER CITY,46.7,2012-06-28,116.06,2012
TEXAS,BALLINGER 2 NW,46.7,1907-06-30,116.06,1907
UTAH,ST GEORGE,46.1,1918-06-12,114.98,1918
COLORADO,LAS ANIMAS,45.6,2012-06-24,114.08000000000001,2012
OKLAHOMA,HEALDTON 3 E,45.6,1980-06-28,114.08000000000001,1980
NEW MEXICO,CARLSBAD,45.6,1994-06-28,114.08000000000001,1994
WASHINGTON,KENNEWICK,45.6,2021-06-30,114.08000000000001,2021
SOUTH DAKOTA,IPSWICH,45.0,1933-06-27,113.0,1933
ARKANSAS,CORNING,45.0,1936-06-20,113.0,1936
IDAHO,CAMBRIDGE,44.4,2015-06-28,111.91999999999999,2015
INDIANA,SEYMOUR 1 WSW,43.9,1936-06-29,111.02,1936
IOWA,LAMONI,43.9,1934-06-29,111.02,1934
WYOMING,LOVELL,43.9,1919-06-29,111.02,1919
KENTUCKY,BOWLING GREEN WARREN CO AP,43.3,2012-06-29,109.94,2012
VIRGINIA,PURCELLVILLE,43.3,1997-06-11,109.94,1997
MISSOURI,POPLAR BLUFF,43.3,1936-06-20,109.94,1936
MONTANA,GLENDIVE,43.3,1988-06-08,109.94,1988
NORTH DAKOTA,MAYVILLE,43.3,1900-06-12,109.94,1900
LOUISIANA,ST JOSEPH 3 N,43.3,2025-06-23,109.94,2025
GEORGIA,EASTMAN 1 W,43.3,1954-06-28,109.94,1954
ALABAMA,TALLADEGA,42.8,1931-06-28,109.03999999999999,1931
TENNESSEE,CLARKSVILLE WWTP,42.8,1944-06-18,109.03999999999999,1944
MISSISSIPPI,KOSCIUSKO,42.8,1899-06-22,109.03999999999999,1899
SOUTH CAROLINA,YEMASSEE 1 N,42.2,1985-06-03,107.96000000000001,1985
NEW YORK,TUPPER LAKE SUNMOUNT,42.2,1983-06-18,107.96000000000001,1983
ILLINOIS,CARBONDALE SEWAGE PLT,42.2,2012-06-30,107.96000000000001,2012
OHIO,DEFIANCE,41.7,2012-06-29,107.06,2012
MICHIGAN,ADRIAN 2 NNE,41.1,1934-06-28,105.98,1934
FLORIDA,LAKE CITY 2 E,41.1,1918-06-04,105.98,1918
NORTH CAROLINA,MONROE 2 SE,41.1,1933-06-21,105.98,1933
MINNESOTA,MILAN 1NW,41.1,1931-06-28,105.98,1931
NEVADA,MINA,41.1,1950-06-30,105.98,1950
WISCONSIN,BRODHEAD WWTP,41.1,1934-06-01,105.98,1934
PENNSYLVANIA,EVERETT,40.6,1946-06-28,105.08000000000001,1946
NEW JERSEY,MOORESTOWN 4 E,40.6,1923-06-21,105.08000000000001,1923
MASSACHUSETTS,BROCKTON,40.6,2025-06-24,105.08000000000001,2025
WEST VIRGINIA,ROMNEY 1 SW,40.0,1930-06-06,104.0,1930
NEW HAMPSHIRE,DURHAM,38.9,1919-06-03,102.02,1919
MARYLAND,PRINCESS ANNE,38.9,1959-06-30,102.02,1959
DELAWARE,DOVER,38.3,1914-06-12,100.94,1914
MAINE,GARDINER,38.3,1898-06-03,100.94,1898
VERMONT,SAINT JOHNSBURY,38.3,1919-06-04,100.94,1919
ALASKA,NOME AP,36.7,1919-06-25,98.06,1919
CONNECTICUT,STORRS,35.6,2025-06-25,96.08000000000001,2025
RHODE ISLAND,KINGSTON,35.6,1925-06-07,96.08000000000001,1925
ARIZONA,PARKER,52.8,1905-07-07,127.03999999999999,1905
CALIFORNIA,YREKA,51.1,1996-07-27,123.98,1996
NORTH DAKOTA,STEELE 4N,49.4,1936-07-06,120.91999999999999,1936
KANSAS,FT SCOTT,48.9,1954-07-13,120.02,1954
TEXAS,BRACKETTVILLE,48.3,1992-07-19,118.94,1992
OREGON,PRINEVILLE,48.3,1898-07-29,118.94,1898
SOUTH DAKOTA,KENNEBEC,48.3,1936-07-05,118.94,1936
MISSOURI,LAMAR 7N,47.8,1936-07-18,118.03999999999999,1936
NEBRASKA,GENEVA,47.8,1934-07-15,118.03999999999999,1934
MONTANA,GLENDIVE,47.2,1893-07-20,116.96000000000001,1893
UTAH,ST GEORGE,47.2,1985-07-05,116.96000000000001,1985
IOWA,ATLANTIC 1 NE,47.2,1936-07-25,116.96000000000001,1936
IDAHO,CAMBRIDGE,47.2,1934-07-29,116.96000000000001,1934
ARKANSAS,JONESBORO 3 SSE,46.7,1901-07-12,116.06,1901
OKLAHOMA,CLAREMORE 2 ENE,46.7,1936-07-18,116.06,1936
WASHINGTON,KENNEWICK,46.1,1939-07-27,114.98,1939
ILLINOIS,PANA,46.1,1954-07-14,114.98,1954
MISSISSIPPI,ABERDEEN,45.6,1930-07-13,114.08000000000001,1930
COLORADO,LAS ANIMAS,45.6,1933-07-01,114.08000000000001,1933
NORTH CAROLINA,LENOIR,45.6,2003-07-31,114.08000000000001,2003
KENTUCKY,HENDERSON 8 SSW,45.0,1936-07-13,113.0,1936
MINNESOTA,MILAN 1NW,45.0,1934-07-21,113.0,1934
INDIANA,1 WSW PRINCETON,45.0,1936-07-13,113.0,1936
GEORGIA,LOUISVILLE 1 E,44.4,1952-07-24,111.91999999999999,1952
TENNESSEE,LEWISBURG EXP STN,44.4,2012-07-02,111.91999999999999,2012
WYOMING,BASIN,44.4,1900-07-12,111.91999999999999,1900
NEW MEXICO,BOSQUE DEL APACHE,44.4,2002-07-03,111.91999999999999,2002
SOUTH CAROLINA,YEMASSEE 1 N,44.4,1992-07-12,111.91999999999999,1992
WISCONSIN,BRODHEAD WWTP,43.9,1901-07-21,111.02,1901
MICHIGAN,SAGINAW MBS INTL AP,43.9,1936-07-13,111.02,1936
LOUISIANA,MINDEN,43.9,1901-07-13,111.02,1901
OHIO,DEFIANCE,43.9,1934-07-25,111.02,1934
PENNSYLVANIA,PHOENIXVILLE 1 E,43.9,1936-07-09,111.02,1936
NEVADA,MINA,43.9,2024-07-10,111.02,2024
ALABAMA,ONEONTA,42.8,1952-07-30,109.03999999999999,1952
VIRGINIA,PURCELLVILLE,42.8,1936-07-10,109.03999999999999,1936
NEW JERSEY,NEWARK LIBERTY INTL AP,42.2,2011-07-22,107.96000000000001,2011
WEST VIRGINIA,GLENVILLE,41.7,1911-07-05,107.06,1911
MASSACHUSETTS,LAWRENCE,41.1,1911-07-04,105.98,1911
NEW YORK,ADDISON,41.1,1911-07-04,105.98,1911
NEW HAMPSHIRE,NASHUA 2 NNW,41.1,1911-07-04,105.98,1911
MARYLAND,HAGERSTOWN 1E,40.6,1954-07-14,105.08000000000001,1954
MAINE,FARMINGTON,40.0,1911-07-10,104.0,1911
FLORIDA,OCALA,40.0,1932-07-16,104.0,1932
DELAWARE,DOVER,40.0,1930-07-21,104.0,1930
VERMONT,WOODSTOCK,40.0,1916-07-21,104.0,1916
CONNECTICUT,STORRS,38.3,1919-07-06,100.94,1919
RHODE ISLAND,KINGSTON,37.8,2011-07-22,100.03999999999999,2011
ALASKA,NOME AP,30.0,1968-07-08,86.0,1968
ARIZONA,PARKER,52.2,1905-08-06,125.96000000000001,1905
CALIFORNIA,INDIO FIRE STN,49.4,1933-08-11,120.91999999999999,1933
IOWA,BRITT 3E,48.9,1983-08-29,120.02,1983
KANSAS,MINNEAPOLIS,48.3,1936-08-12,118.94,1936
ARKANSAS,PRESCOTT 2 NNW,48.3,1897-08-04,118.94,1897
OKLAHOMA,ENID,47.8,1936-08-12,118.03999999999999,1936
SOUTH DAKOTA,IPSWICH,47.2,1938-08-14,116.96000000000001,1938
TEXAS,GREENVILLE KGVL RADIO,46.7,1936-08-10,116.06,1936
NEBRASKA,SYRACUSE,46.7,1936-08-13,116.06,1936
WASHINGTON,KENNEWICK,46.1,1898-08-10,114.98,1898
WYOMING,BASIN,46.1,1983-08-08,114.98,1983
UTAH,ST GEORGE,46.1,2020-08-17,114.98,2020
OREGON,ARLINGTON,46.1,1961-08-04,114.98,1961
IDAHO,RIGGINS,46.1,1967-08-20,114.98,1967
KENTUCKY,BOWLING GREEN WARREN CO AP,45.6,1996-08-08,114.08000000000001,1996
MISSOURI,NEVADA WTP,45.6,1936-08-09,114.08000000000001,1936
ILLINOIS,CARBONDALE SEWAGE PLT,45.0,1930-08-09,113.0,1930
MONTANA,GLENDIVE,45.0,1893-08-06,113.0,1893
LOUISIANA,MINDEN,44.4,1909-08-18,111.91999999999999,1909
MISSISSIPPI,HERNANDO,44.4,2007-08-12,111.91999999999999,2007
OHIO,BUCYRUS,43.9,1918-08-07,111.02,1918
NEW MEXICO,CARLSBAD,43.9,2019-08-27,111.02,2019
NORTH CAROLINA,CHAPEL HILL 2 W,43.9,1914-08-30,111.02,1914
COLORADO,YUMA,43.9,1994-08-25,111.02,1994
INDIANA,SEYMOUR 1 WSW,43.9,1936-08-22,111.02,1936
NORTH DAKOTA,NAPOLEON,43.9,1902-08-01,111.02,1902
TENNESSEE,CARTHAGE,43.9,1930-08-08,111.02,1930
SOUTH CAROLINA,YEMASSEE 1 N,42.8,2011-08-09,109.03999999999999,2011
WEST VIRGINIA,NEW CUMBERLAND L/D,42.8,1918-08-06,109.03999999999999,1918
GEORGIA,WASHINGTON 2 ESE,42.8,1925-08-20,109.03999999999999,1925
ALABAMA,TALLADEGA,42.8,1910-08-24,109.03999999999999,1910
MICHIGAN,CENTRAL MICHIGAN UNIV,42.2,1918-08-06,107.96000000000001,1918
VIRGINIA,PURCELLVILLE,42.2,1932-08-31,107.96000000000001,1932
NEW JERSEY,FLEMINGTON 5 NNW,42.2,1918-08-07,107.96000000000001,1918
